accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,taxon_10,taxon_11,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AF290080,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Uncultured marine euglenozoan DH148-EKB1,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Antarctica,Unexpected diversity of small eukaryotes in deep-sea Antarctic plankton,"Lopez-Garcia,P., Rodriguez-Valera,F., Pedros-Alio,C. and Moreira,D.","Nature 409 (6820), 603-607 (2001)",Uncultured marine euglenozoan DH148-EKB1,NA,Antarctic,NA,NA,Unexpected diversity of small eukaryotes in deep-sea Antarctic plankton,"Lopez-Garcia,P., Rodriguez-Valera,F., Pedros-Alio,C. and Moreira,D.","Nature 409 (6820), 603-607 (2001)"
JF281650,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Kinetoplastea,Metakinetoplastina,Metakinetoplastina,Metakinetoplastina,Metakinetoplastina,Metakinetoplastina,uncultured microeukaryote ANEK03D04,environmental,soil (ENVO:00001998),NA,NA,NA,NA,Antarctica,"Biostimulation, Hydrocarbon Depletion and Genetic Microbial Diversity of Antarctic Oil-contaminated Soil","Cury,J.C., Villela,H.D.M., Jesus,H.E., Peixoto,R.S., Schaefer,C.E.G.R., Bicego,M.C. and Rosado,A.S.",Unpublished,uncultured microeukaryote,ANEK03D04,soil in front of the Brazilian Antarctic Station,NA,Antarctica,"Biostimulation, Hydrocarbon Depletion and Genetic Microbial Diversity of Antarctic Oil-contaminated Soil","Cury,J.C., Villela,H.D.M., Jesus,H.E., Peixoto,R.S., Schaefer,C.E.G.R., Bicego,M.C. and Rosado,A.S.",Unpublished
KX189123,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_908_2,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_908_2,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189124,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_908_4,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_908_4,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189125,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_908_5,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_908_5,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189126,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_908_10,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_908_10,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189127,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_908_13,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_908_13,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189128,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_908_15,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_908_15,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189129,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_908_38,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_908_38,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189130,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_1,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_1,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
