accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,taxon_10,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb ,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AB505539.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas planus,RM2-SGM31 ,environmental,microbial mat (ENVO:01000157),marine cold seep (ENVO:01000127),free-living,NA,NA,Japan: Sagami Bay,Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment,"Takishita,K., Kakizoe,N., Yoshida,T. and Maruyama,T.","J. Eukaryot. Microbiol. 57 (1), 76-86 (2010)",uncultured eukaryote,RM2-SGM31,microbial mats in deep-sea cold seep sediment,NA,"Japan:Sagami Bay, off Hatsushima",Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment,"Takishita,K., Kakizoe,N., Yoshida,T. and Maruyama,T.","J. Eukaryot. Microbiol. 57 (1), 76-86 (2010)"
AB505615.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Petalomonadida,Petalomonadida,Petalomonadida,Petalomonadida,DM2-SGM36 ,environmental,microbial mat (ENVO:01000157),marine cold seep (ENVO:01000127),free-living,NA,NA,Japan: Sagami Bay,Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment,"Takishita,K., Kakizoe,N., Yoshida,T. and Maruyama,T.","J. Eukaryot. Microbiol. 57 (1), 76-86 (2010)",uncultured eukaryote,DM2-SGM36,microbial mats in deep-sea cold seep sediment,NA,"Japan:Sagami Bay, off Hatsushima",Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment,"Takishita,K., Kakizoe,N., Yoshida,T. and Maruyama,T.","J. Eukaryot. Microbiol. 57 (1), 76-86 (2010)"
AB505616.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,DM2-SGM37 ,environmental,microbial mat (ENVO:01000157),marine cold seep (ENVO:01000127),free-living,NA,NA,Japan: Sagami Bay,Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment,"Takishita,K., Kakizoe,N., Yoshida,T. and Maruyama,T.","J. Eukaryot. Microbiol. 57 (1), 76-86 (2010)",uncultured eukaryote,DM2-SGM37,microbial mats in deep-sea cold seep sediment,NA,"Japan:Sagami Bay, off Hatsushima",Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment,"Takishita,K., Kakizoe,N., Yoshida,T. and Maruyama,T.","J. Eukaryot. Microbiol. 57 (1), 76-86 (2010)"
AB679269.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Rapazida ,Rapazidae ,Rapaza,Rapaza viridis,Rapaza viridis ATCC PRA-360,culture,brackish water (ENVO:00002019),marine (ENVO:00000447),free-living,NA,NA,Canada: British Columbia: Bamfield: Pachena Beach,"Morphostasis in a novel eukaryote illuminates the evolutionary transition from phagotrophy to phototrophy: description of Rapaza viridis n. gen. et sp. (Euglenozoa, Euglenida)","Yamaguchi,A., Yubuki,N. and Leander,B.S.","BMC Evol. Biol. 12, 29 (2012)",Rapaza viridis,NA,NA,NA,"Canada: British Columbia, Vancouver Island, Pachena Beach","Morphostasis in a novel eukaryote illuminates the evolutionary transition from phagotrophy to phototrophy: description of Rapaza viridis n. gen. et sp. (Euglenozoa, Euglenida)","Yamaguchi,A., Yubuki,N. and Leander,B.S.","BMC Evol. Biol. 12, 29 (2012)"
AB901573.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOan_H_2012Dec_31 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Niigata: Nagaoka: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOan_H_2012Dec_31,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB901604.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOan_H_2012Dec_81 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOan_H_2012Dec_81,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB901616.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOan_H_2012Dec_99 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOan_H_2012Dec_99,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB901779.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AS_N_2012Sep_57 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Niigata: Nagaoka: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AS_N_2012Sep_57,Activated sludge treating municipal sewage,NA,"Japan:Niigata, Nagaoka",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB901832.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AS_K_2013Jan_108 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Kagawa: Takamatsu: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AS_K_2013Jan_108,Activated sludge treating municipal sewage,NA,"Japan:Kagawa, Takamatsu",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902078.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AS_S_2012Dec_31 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AS_S_2012Dec_31,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
