accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,name,source,env_material,env_biome,biotic_relationship,specific_host,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AB273891.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade VI,Tetramitia clade VI,Tetramitia clade VI,EXP.1-18S-13C-heavy-Clone_11,environmental,paddy field soil (ENVO:00005740),cropland (ENVO:01000245),free-living,NA,Italy,A methane-driven microbial food web in a wetland rice soil,"Murase,J. and Frenzel,P.","Environ. Microbiol. 9 (12), 3025-3034 (2007)",uncultured eukaryote,EXP.1-18S-13C-heavy-Clone_11,Rice field soil,NA,Italy,A methane-driven microbial food web in a wetland rice soil,"Murase,J. and Frenzel,P.","Environ. Microbiol. 9 (12), 3025-3034 (2007)"
AY965862.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,soil amoeba AND12,isolate,clay soil (ENVO:00002262),terrestrial biome (ENVO:00000446),free-living,NA,Spain,Molecular comparison of cultivable protozoa from a pristine and a polycyclic aromatic hydrocarbon polluted site,"Lara,E., Berney,C., Ekelund,F., Harms,H. and Chatzinotas,A.","Soil Biol. Biochem. 39 (1), 139-148 (2007)",soil amoeba AND12,NA,soil,NA,Spain: Andujar,Molecular comparison of cultivable protozoa from a pristine and a polycyclic aromatic hydrocarbon polluted site,"Lara,E., Berney,C., Ekelund,F., Harms,H. and Chatzinotas,A.","Soil Biol. Biochem. 39 (1), 139-148 (2007)"
AF011458.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis rosea,isolate,NA,NA,free-living,NA,Tahiti,Phylogenetic diversity of the Heteroloboseans (amoebae-flagellates) as revealed by nuclear 16S-like gene analyses,"Silberman,J.D., Roger,A.J., Nerad,T.A., Gunderson,J.H. and Sogin,M.L.",Unpublished,Acrasis rosea,NA,NA,NA,NA,Phylogenetic diversity of the Heteroloboseans (amoebae-flagellates) as revealed by nuclear 16S-like gene analyses,"Silberman,J.D., Roger,A.J., Nerad,T.A., Gunderson,J.H. and Sogin,M.L.",Unpublished
GU437218.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis helenhemmesae,isolate,Organic material (ENVO:01000155),terrestrial biome (ENVO:00000446),free-living,NA,USA,"A morphologically simple species of Acrasis (Heterolobosea, Excavata), Acrasis helenhemmesae n. sp","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","J. Eukaryot. Microbiol. 57 (4), 346-353 (2010)",Acrasis helenhemmesae,NA,NA,NA,NA,"A morphologically simple species of Acrasis (Heterolobosea, Excavata), Acrasis helenhemmesae n. sp","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","J. Eukaryot. Microbiol. 57 (4), 346-353 (2010)"
GU437219.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis helenhemmesae,isolate,Organic material (ENVO:01000155),terrestrial biome (ENVO:00000446),free-living,NA,Australia,"A morphologically simple species of Acrasis (Heterolobosea, Excavata), Acrasis helenhemmesae n. sp","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","J. Eukaryot. Microbiol. 57 (4), 346-353 (2010)",Acrasis helenhemmesae,NA,NA,NA,NA,"A morphologically simple species of Acrasis (Heterolobosea, Excavata), Acrasis helenhemmesae n. sp","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","J. Eukaryot. Microbiol. 57 (4), 346-353 (2010)"
GU437220.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis helenhemmesae,isolate,Organic material (ENVO:01000155),terrestrial biome (ENVO:00000446),free-living,NA,Bermuda,"A morphologically simple species of Acrasis (Heterolobosea, Excavata), Acrasis helenhemmesae n. sp","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","J. Eukaryot. Microbiol. 57 (4), 346-353 (2010)",Acrasis helenhemmesae,NA,NA,NA,NA,"A morphologically simple species of Acrasis (Heterolobosea, Excavata), Acrasis helenhemmesae n. sp","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","J. Eukaryot. Microbiol. 57 (4), 346-353 (2010)"
GU437221.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis helenhemmesae,isolate,plant litter (ENVO:01000628),woodland biome (ENVO:01000175),free-living,NA,USA,"A morphologically simple species of Acrasis (Heterolobosea, Excavata), Acrasis helenhemmesae n. sp","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","J. Eukaryot. Microbiol. 57 (4), 346-353 (2010)",Acrasis helenhemmesae,NA,NA,NA,NA,"A morphologically simple species of Acrasis (Heterolobosea, Excavata), Acrasis helenhemmesae n. sp","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","J. Eukaryot. Microbiol. 57 (4), 346-353 (2010)"
GU437222.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis helenhemmesae,isolate,plant litter (ENVO:01000628),woodland biome (ENVO:01000175),free-living,NA,South Africa,"A morphologically simple species of Acrasis (Heterolobosea, Excavata), Acrasis helenhemmesae n. sp","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","J. Eukaryot. Microbiol. 57 (4), 346-353 (2010)",Acrasis helenhemmesae,NA,NA,NA,NA,"A morphologically simple species of Acrasis (Heterolobosea, Excavata), Acrasis helenhemmesae n. sp","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","J. Eukaryot. Microbiol. 57 (4), 346-353 (2010)"
HM114339.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis rosea,isolate,plant litter (ENVO:01000628),plant-associated environment (ENVO:01001001),free-living,NA,USA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)",Acrasis rosea,NA,NA,NA,NA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)"
HM114340.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis rosea,isolate,plant litter (ENVO:01000628),woodland biome (ENVO:01000175),free-living,NA,USA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)",Acrasis rosea,NA,NA,NA,NA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)"
