accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AY063294,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Calonympha grassii,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105780,Cryptotermes brevis,USA: Florida: Key West,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)",Calonympha grassii,1,NA,Cryptotermes brevis,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)"
AY063295,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Calonympha grassii,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105780,Cryptotermes brevis,USA: Florida: Key West,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)",Calonympha grassii,2,NA,Cryptotermes brevis,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)"
AY063296,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Calonympha grassii,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105780,Cryptotermes brevis,USA: Florida: Key West,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)",Calonympha grassii,3,NA,Cryptotermes brevis,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)"
AB032222,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Neotermes koshunensis parabasalian symbiont clone Nk3,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60586,Neotermes koshunensis,Japan: Okinawa Island,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)",Neotermes koshunensis parabasalian symbiont clone Nk3,Nk3,NA,Neotermes koshunensis,NA,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)"
AB032223,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Neotermes koshunensis parabasalian symbiont clone Nk4,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60586,Neotermes koshunensis,Japan: Okinawa Island,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)",Neotermes koshunensis parabasalian symbiont clone Nk4,Nk4,NA,Neotermes koshunensis,NA,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)"
HQ215836,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Calonympha,Calonympha,Calonympha chia,Calonympha chia,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,USA: Florida: Key Largo: Dagny Johnson Park,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)",Calonympha chia,NA,NA,NA,NA,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)"
X97976,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Calonympha,Calonympha,Calonympha chia,Calonympha chia,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,Cuba,NA,"Branke,J.",Unpublished,Calonympha sp. B14,B14,NA,Neotermes jouteli,NA,NA,"Branke,J.",Unpublished
AM747388,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Calonympha,Calonympha,Calonympha chia,Calonympha chia,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,Cuba,Phylogenetic diversity of Endomicrobia and their specific affiliation with termite gut flagellates,"Ikeda-Ohtsubo,W., Desai,M., Stingl,U. and Brune,A.","Microbiology (Reading, Engl.) 153 (PT 10), 3458-3465 (2007)",Calonympha sp. WIO-2007,NA,NA,NA,NA,Phylogenetic diversity of Endomicrobia and their specific affiliation with termite gut flagellates,"Ikeda-Ohtsubo,W., Desai,M., Stingl,U. and Brune,A.","Microbiology (Reading, Engl.) 153 (PT 10), 3458-3465 (2007)"
HQ215837,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Snyderella,Snyderella,Snyderella kirbyi,Snyderella kirbyi,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,906891,Calcaritermes nigriceps,Colombia,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)",Snyderella kirbyi,NA,NA,NA,NA,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)"
HQ215838,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Snyderella,Snyderella,Snyderella swezyae,Snyderella swezyae,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,906893,Cryptotermes cylindroceps,Colombia,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)",Snyderella swezyae,NA,NA,NA,NA,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)"
