accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,name,source,env_material,env_biome,biotic_relationship,specific_host,host_gb,host_taxonomy,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AY309064,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia sp.,isolate,feces  (ENVO:00002003),NA,NA,65612,Isoodon obesulus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊMetatheria;ÊPeramelemorphia;ÊPeramelidae;ÊIsoodon,Australia: Western Australia,Cyst morphology and sequence analysis of the small subunit rDNA and ef1 alpha identifies a novel Giardia genotype in a quenda (Isoodon obesulus) from Western Australia,"Adams,P.J., Monis,P.T., Elliot,A.D. and Thompson,R.C.","Infect. Genet. Evol. 4 (4), 365-370 (2004)",Giardia sp. quenda,gueda,NA,Isoodon obesulus,Australia,Cyst morphology and sequence analysis of the small subunit rDNA and ef1 alpha identifies a novel Giardia genotype in a quenda (Isoodon obesulus) from Western Australia,"Adams,P.J., Monis,P.T., Elliot,A.D. and Thompson,R.C.","Infect. Genet. Evol. 4 (4), 365-370 (2004)"
U53120,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Trepomonas agilis,isolate,NA,NA,NA,NA,NA,NA,NA,Molecular phylogeny of the free-living archezoan Trepomonas agilis and the nature of the first eukaryote,"Cavalier-Smith,T. and Chao,E.E.","J. Mol. Evol. 43 (6), 551-562 (1996)",Trepomonas agilis,ATCC 50336,NA,NA,NA,Molecular phylogeny of the free-living archezoan Trepomonas agilis and the nature of the first eukaryote,"Cavalier-Smith,T. and Chao,E.E.","J. Mol. Evol. 43 (6), 551-562 (1996)"
KC960601,Eukaryota,Excavata,Metamonada,Fornicata,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae sp.,isolate,NA,animal-associated environment (ENVO:01001002),parasite,39601,Leptopelis sp.,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊMetatheria;ÊPeramelemorphia;ÊPeramelidae;ÊIsoodon,NA,Diversity and phylogeny of retortamonads (Waskiidae and Retortamonadidae),"Cepicka,I.",Unpublished,Retortamonadidae sp.,LEP1,NA,Leptopelis sp.,NA,Diversity and phylogeny of retortamonads (Waskiidae and Retortamonadidae),"Cepicka,I.",Unpublished
KC960603,Eukaryota,Excavata,Metamonada,Fornicata,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae sp. ,isolate,NA,animal-associated environment (ENVO:01001002),parasite,8345,Bombina bombina,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmphibia;ÊBatrachia;ÊAnura;ÊBombinatoridae;ÊBombina,NA,Diversity and phylogeny of retortamonads (Waskiidae and Retortamonadidae),"Cepicka,I.",Unpublished,Retortamonadidae sp.,BOMB3,NA,Bombina bombina,NA,Diversity and phylogeny of retortamonads (Waskiidae and Retortamonadidae),"Cepicka,I.",Unpublished
KC960608,Eukaryota,Excavata,Metamonada,Fornicata,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae sp.,isolate,NA,mammalia-associated environment (ENVO missing),parasite,88029,Semnopithecus entellus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊCercopithecoidea;ÊCercopithecidae;ÊColobinae;ÊSemnopithecus,NA,Diversity and phylogeny of retortamonads (Waskiidae and Retortamonadidae),"Cepicka,I.",Unpublished,Retortamonadidae sp.,SENT1,NA,Semnopithecus entellus,NA,Diversity and phylogeny of retortamonads (Waskiidae and Retortamonadidae),"Cepicka,I.",Unpublished
KC960599,Eukaryota,Excavata,Metamonada,Fornicata,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae sp.,isolate,NA,animal-associated environment (ENVO:01001002),parasite,30347,Ceratophrys ornata,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmphibia;ÊBatrachia;ÊAnura;ÊNeobatrachia;ÊHyloidea;ÊCeratophryidae;ÊCeratophryinae;ÊCeratophrys,NA,Diversity and phylogeny of retortamonads (Waskiidae and Retortamonadidae),"Cepicka,I.",Unpublished,Retortamonadidae sp.,CERAT3RET,NA,Ceratophrys ornata,NA,Diversity and phylogeny of retortamonads (Waskiidae and Retortamonadidae),"Cepicka,I.",Unpublished
KC960597,Eukaryota,Excavata,Metamonada,Fornicata,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae sp. ,isolate,NA,animal-associated environment (ENVO:01001002),parasite,187939,Furcifer pardalis,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊSauropsida;ÊSauria;ÊLepidosauria;ÊSquamata;ÊBifurcata;ÊUnidentata;ÊEpisquamata;ÊToxicofera;ÊIguania;,NA,Diversity and phylogeny of retortamonads (Waskiidae and Retortamonadidae),"Cepicka,I.",Unpublished,Retortamonadidae sp.,FPAR2,NA,Furcifer pardalis,NA,Diversity and phylogeny of retortamonads (Waskiidae and Retortamonadidae),"Cepicka,I.",Unpublished
AY921407,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Enteromonadidae sp.,isolate,NA,animal-associated environment (ENVO:01001002),NA,260627,Pyxidea mouhotii,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊSauropsida;ÊSauria;ÊArchelosauria;ÊTestudines;ÊCryptodira;ÊDurocryptodira;ÊTestudinoidea;ÊGeoemydidae;ÊGeoemydinae;ÊCuora,NA,"Phylogenetic position of Dimitus minutus, sp. nov., gen. nov","Cepicka,I., Kolisko,M., Jaroslav,K., Vladimir,H., Alastair,S.G.B. and Jaroslav,F.",Unpublished,Enteromonadidae sp.,PYX,NA,Pyxidea mouhotii,NA,"Phylogenetic position of Dimitus minutus, sp. nov., gen. nov","Cepicka,I., Kolisko,M., Jaroslav,K., Vladimir,H., Alastair,S.G.B. and Jaroslav,F.",Unpublished
EU009463,Eukaryota,Excavata,Metamonada,Fornicata,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Chilomastix mesnili,isolate,feces (ENVO:00002003),human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Czech Republic,Non-monophyly of Retortamonadida and high genetic diversity of the genus Chilomastix suggested by analysis of SSU rDNA,"Cepicka,I., Kostka,M., Uzlikova,M., Kulda,J. and Flegr,J.","Mol. Phylogenet. Evol. 48 (2), 770-775 (2008)",Chilomastix mesnili,FAB clone 1_1,NA,Homo sapiens,Czech Republic,Non-monophyly of Retortamonadida and high genetic diversity of the genus Chilomastix suggested by analysis of SSU rDNA,"Cepicka,I., Kostka,M., Uzlikova,M., Kulda,J. and Flegr,J.","Mol. Phylogenet. Evol. 48 (2), 770-775 (2008)"
EF450168,Eukaryota,Excavata,Metamonada,Fornicata,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Chilomastix wenrichi,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,10141,Cavia porcellus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊGlires;ÊRodentia;ÊHystricomorpha;ÊCaviidae;ÊCavia,Czech Republic,Non-monophyly of Retortamonadida and high genetic diversity of the genus Chilomastix suggested by analysis of SSU rDNA,"Cepicka,I., Kostka,M., Uzlikova,M., Kulda,J. and Flegr,J.","Mol. Phylogenet. Evol. 48 (2), 770-775 (2008)",Chilomastix wenrichi,CAVIA2,intestine,Cavia porcellus,Czech Republic,Non-monophyly of Retortamonadida and high genetic diversity of the genus Chilomastix suggested by analysis of SSU rDNA,"Cepicka,I., Kostka,M., Uzlikova,M., Kulda,J. and Flegr,J.","Mol. Phylogenet. Evol. 48 (2), 770-775 (2008)"
