accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AB092918.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha grandis AB,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",Pyrsonympha grandis,AB,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092919.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha grandis PgA,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",Pyrsonympha grandis,PgA,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092920.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha grandis PgB,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",Pyrsonympha grandis,PgB,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092921.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. AD,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Dinenympha sp.,AD,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092922.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. DL26,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Dinenympha sp.,DL26,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092923.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. AF,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Dinenympha sp.,AF,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092924.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha exilis,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",Dinenympha exilis,M,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092925.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha parva,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",Dinenympha parva,T,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092926.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha exilis,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",Dinenympha exilis,PgA,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
AB092927.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. W,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama: Tokigawa,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)",uncultured Dinenympha sp.,W,isolated from gut contents of Reticulitermes speratus,NA,NA,"Molecular phylogeny of three oxymonad genera: Pyrsonympha, Dinenympha and Oxymonas","Moriya,S., Dacks,J.B., Takagi,A., Noda,S., Ohkuma,M., Doolittle,W.F. and Kudo,T.","J. Eukaryot. Microbiol. 50 (3), 190-197 (2003)"
